"name"	"references_link"	"references_type"	"references_resource"	"references_id"	"references_annotatorClassName"	"description"	"bloodBrainBarrier"	"brandNames"	"synonyms"	"id"	"targets_name"	"targets_targetParticipants_link"	"targets_targetParticipants_type"	"targets_targetParticipants_resource"	"targets_targetParticipants_id"	"targets_targetParticipants_annotatorClassName"
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"YES1"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"BLK"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"HCK"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"LYN"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"FRK"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"FGR"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"SRC"	NA	"HGNC_SYMBOL"	"SRMS"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"Bcr/Abl fusion protein"	NA	"HGNC_SYMBOL"	"ABL1"	0	""
"DASATINIB"	NA	"CHEMBL_COMPOUND"	"CHEMBL1421"	0	""	NA	"N/A"	""	"BMS-354825|BMS-354825-03|BMS-354825 HYDRATE|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB|DASATINIB ANHYDROUS|DASATINIB HYDRATE|DASATINIB HYDRATE|DASATINIB MONOHYDRATE|NSC-759877|Sprycel"	"DASATINIB"	"Bcr/Abl fusion protein"	NA	"HGNC_SYMBOL"	"BCR"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Tyrosine-protein kinase ABL1"	NA	"HGNC_SYMBOL"	"ABL1"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Proto-oncogene tyrosine-protein kinase Src"	NA	"HGNC_SYMBOL"	"SRC"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Ephrin type-A receptor 2"	NA	"HGNC_SYMBOL"	"EPHA2"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Tyrosine-protein kinase Lck"	NA	"HGNC_SYMBOL"	"LCK"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Tyrosine-protein kinase Yes"	NA	"HGNC_SYMBOL"	"YES1"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Mast/stem cell growth factor receptor Kit"	NA	"HGNC_SYMBOL"	"KIT"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Platelet-derived growth factor receptor beta"	NA	"HGNC_SYMBOL"	"PDGFRB"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Signal transducer and activator of transcription 5B"	NA	"HGNC_SYMBOL"	"STAT5B"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Abelson tyrosine-protein kinase 2"	NA	"HGNC_SYMBOL"	"ABL2"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Tyrosine-protein kinase Fyn"	NA	"HGNC_SYMBOL"	"FYN"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Tyrosine-protein kinase BTK"	NA	"HGNC_SYMBOL"	"BTK"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Nuclear receptor subfamily 4 group A member 3"	NA	"HGNC_SYMBOL"	"NR4A3"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Breakpoint cluster region protein"	NA	"HGNC_SYMBOL"	"BCR"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Tyrosine-protein kinase CSK"	NA	"HGNC_SYMBOL"	"CSK"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Ephrin type-A receptor 5"	NA	"HGNC_SYMBOL"	"EPHA5"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Ephrin type-B receptor 4"	NA	"HGNC_SYMBOL"	"EPHB4"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Tyrosine-protein kinase Fgr"	NA	"HGNC_SYMBOL"	"FGR"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Tyrosine-protein kinase FRK"	NA	"HGNC_SYMBOL"	"FRK"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Heat shock cognate 71 kDa protein"	NA	"HGNC_SYMBOL"	"HSPA8"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Tyrosine-protein kinase Lyn"	NA	"HGNC_SYMBOL"	"LYN"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Mitogen-activated protein kinase kinase kinase MLT"	NA	"HGNC_SYMBOL"	"MAP3K20"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Mitogen-activated protein kinase 14"	NA	"HGNC_SYMBOL"	"MAPK14"	0	""
"Dasatinib"	NA	"DRUGBANK"	"DB01254"	0	""	"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR."	"N/A"	""	"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|Dasatinib|BMS dasatinib|anh. dasatinib|Dasatinib anhydrous|Anhydrous dasatinib|dasatinib (anhydrous)|Dasatinib (anh.)|Dasatinibum"	"Dasatinib"	"Amidophosphoribosyltransferase"	NA	"HGNC_SYMBOL"	"PPAT"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"Serine/threonine-protein kinase Aurora-A"	NA	"HGNC_SYMBOL"	"AURKA"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"Tyrosine-protein kinase receptor FLT3"	NA	"HGNC_SYMBOL"	"FLT3"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"SRC"	NA	"HGNC_SYMBOL"	"FYN"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"SRC"	NA	"HGNC_SYMBOL"	"SRC"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"SRC"	NA	"HGNC_SYMBOL"	"LCK"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"SRC"	NA	"HGNC_SYMBOL"	"YES1"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"SRC"	NA	"HGNC_SYMBOL"	"BLK"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"SRC"	NA	"HGNC_SYMBOL"	"HCK"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"SRC"	NA	"HGNC_SYMBOL"	"LYN"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"SRC"	NA	"HGNC_SYMBOL"	"FRK"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"SRC"	NA	"HGNC_SYMBOL"	"FGR"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"SRC"	NA	"HGNC_SYMBOL"	"SRMS"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"Vascular endothelial growth factor receptor 2"	NA	"HGNC_SYMBOL"	"KDR"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"Fibroblast growth factor receptor"	NA	"HGNC_SYMBOL"	"FGFR3"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"Fibroblast growth factor receptor"	NA	"HGNC_SYMBOL"	"FGFR1"	0	""
"ENMD-981693"	NA	"CHEMBL_COMPOUND"	"CHEMBL52885"	0	""	NA	"N/A"	""	"ENMD-2076|ENMD-2076 FREE BASE|ENMD 981693|ENMD-981693|ENMD-981693|MKC 1|MKC-1|R-440|Ro-317453|RO 31-7453|RO-31-7453"	"ENMD-981693"	"Fibroblast growth factor receptor"	NA	"HGNC_SYMBOL"	"FGFR4"	0	""
